idade,horas_estudo_por_dia,frequencia_percentual,escolaridade_dos_pais,nota_matematica,nota_ciencias,nota_ingles,media_ano_anterior,percentual_final
15,1.0,65.0,Postgraduate,40.0,39.0,72.0,81.0,50.33
19,1.6,58.0,Graduate,,44.0,,47.0,53.0
14,3.6,64.0,High School,83.0,73.0,59.0,58.0,71.67
18,5.5,68.0,Postgraduate,68.0,48.0,77.0,54.0,64.33
14,5.0,80.0,High School,41.0,46.0,36.0,68.0,41.0
19,5.2,82.0,High School,,70.0,46.0,60.0,68.0
16,,78.0,,75.0,69.0,64.0,84.0,69.33
18,2.0,81.0,Graduate,93.0,37.0,48.0,55.0,59.33
18,3.5,61.0,Graduate,55.0,39.0,83.0,71.0,59.0
18,5.7,97.0,High School,,73.0,73.0,61.0,72.67
14,,88.0,Graduate,95.0,85.0,69.0,41.0,83.0
18,5.7,74.0,Postgraduate,54.0,38.0,59.0,81.0,50.33
19,1.5,64.0,Postgraduate,35.0,95.0,37.0,85.0,55.67
17,5.5,76.0,Postgraduate,,82.0,100.0,71.0,87.0
15,4.2,60.0,Postgraduate,,57.0,80.0,72.0,64.0
17,5.0,67.0,,68.0,40.0,81.0,72.0,63.0
16,4.0,,,49.0,,96.0,63.0,68.0
14,5.0,89.0,High School,71.0,40.0,59.0,82.0,56.67
14,1.9,100.0,Postgraduate,45.0,85.0,74.0,,68.0
19,3.6,66.0,High School,75.0,78.0,59.0,78.0,70.67
15,4.7,65.0,High School,,80.0,70.0,46.0,65.33
15,2.8,83.0,,100.0,96.0,99.0,86.0,98.33
19,5.3,72.0,Postgraduate,72.0,40.0,63.0,76.0,58.33
14,4.6,54.0,,58.0,37.0,79.0,94.0,58.0
17,0.9,98.0,Postgraduate,61.0,53.0,38.0,48.0,50.67
19,5.1,78.0,Graduate,68.0,80.0,69.0,43.0,72.33
19,2.0,75.0,High School,56.0,79.0,,94.0,62.33
14,0.9,,Graduate,57.0,51.0,35.0,52.0,47.67
19,4.3,87.0,Graduate,61.0,91.0,49.0,49.0,67.0
16,,69.0,Graduate,81.0,68.0,42.0,57.0,63.67
18,1.8,85.0,,64.0,58.0,93.0,93.0,71.67
17,1.1,78.0,High School,47.0,81.0,,52.0,71.67
17,,58.0,High School,54.0,49.0,75.0,66.0,59.33
17,3.0,94.0,Graduate,56.0,51.0,45.0,61.0,50.67
15,2.3,79.0,Graduate,97.0,95.0,53.0,93.0,81.67
18,3.4,87.0,High School,95.0,86.0,,68.0,72.0
18,3.9,54.0,Graduate,82.0,100.0,71.0,50.0,84.33
18,1.2,63.0,High School,65.0,56.0,73.0,89.0,64.67
16,1.7,97.0,Postgraduate,75.0,,94.0,94.0,77.67
17,2.0,100.0,Graduate,68.0,,88.0,59.0,64.67
16,5.2,95.0,Graduate,56.0,84.0,57.0,57.0,65.67
19,4.1,64.0,High School,62.0,82.0,95.0,78.0,79.67
18,,56.0,High School,60.0,70.0,52.0,86.0,60.67
16,4.8,68.0,High School,,76.0,98.0,44.0,70.33
14,3.4,91.0,Graduate,,100.0,76.0,,70.67
14,1.9,55.0,High School,87.0,37.0,55.0,46.0,59.67
14,2.6,96.0,Graduate,,63.0,78.0,43.0,69.67
19,0.8,80.0,,46.0,49.0,,83.0,62.33
17,1.0,63.0,High School,41.0,86.0,46.0,58.0,57.67
14,2.8,95.0,High School,44.0,83.0,83.0,93.0,70.0
18,1.3,69.0,High School,99.0,77.0,84.0,88.0,86.67
18,5.3,63.0,Graduate,82.0,63.0,72.0,55.0,72.33
15,4.7,76.0,High School,82.0,87.0,42.0,89.0,70.33
17,1.5,92.0,High School,57.0,75.0,86.0,,72.67
17,5.3,80.0,Graduate,74.0,,46.0,40.0,52.33
15,4.2,75.0,Graduate,86.0,71.0,79.0,58.0,78.67
16,3.9,97.0,Graduate,81.0,72.0,85.0,40.0,79.33
19,3.0,64.0,Postgraduate,66.0,,69.0,86.0,64.0
14,,90.0,Graduate,67.0,82.0,100.0,86.0,83.0
17,3.5,51.0,Postgraduate,68.0,74.0,81.0,68.0,74.33
14,4.0,82.0,Postgraduate,,83.0,53.0,95.0,67.0
17,1.8,99.0,,78.0,,91.0,65.0,68.0
19,1.9,66.0,High School,95.0,82.0,89.0,,88.67
19,1.9,56.0,Graduate,75.0,,40.0,86.0,51.67
19,3.6,84.0,Graduate,85.0,71.0,53.0,95.0,69.67
14,2.7,,High School,67.0,,84.0,65.0,70.33
14,4.4,71.0,Postgraduate,64.0,47.0,66.0,54.0,59.0
17,5.4,96.0,Postgraduate,43.0,86.0,65.0,81.0,64.67
17,,77.0,High School,35.0,77.0,97.0,83.0,69.67
16,5.8,,Graduate,93.0,93.0,41.0,76.0,75.67
14,1.5,50.0,Postgraduate,90.0,81.0,48.0,80.0,73.0
